date,total_clones,unique_clones
2022-09-08,6,4
2022-09-09,1,1
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-15,1,1
2022-09-16,1,1
2022-09-17,1,1
2022-09-18,1,1
2022-09-19,2,2
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-09-23,1,1
2022-09-24,1,1
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,1,1
2022-10-02,1,1
2022-10-03,1,1
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-07,1,1
2022-10-08,3,2
2022-10-09,3,2
2022-10-10,3,2
2022-10-11,1,1
2022-10-12,1,1
2022-10-13,1,1
2022-10-14,1,1
2022-10-15,1,1
2022-10-16,1,1
2022-10-17,4,3
2022-10-18,4,3
2022-10-19,2,2
2022-10-20,2,2
2022-10-21,4,3
2022-10-22,5,4
2022-10-23,4,3
2022-10-24,5,4
2022-10-25,4,3
2022-10-26,5,4
2022-10-27,4,3
2022-10-28,5,4
2022-10-29,4,3
2022-10-30,0,0
